0.34979E-06 0.64892E-09 0.00000E+01 330011 0 0 18513 0.52920E+11 0.00000E+01 0.34979E-06
1 3.5363e-07 9.86e-09 1.7634 1.0271e-05 3.5363e-07
2 3.5066e-07 4.1573e-09 1.0604 4.4058e-06 3.5066e-07
3 3.4677e-07 2.1066e-09 0.76844 3.1222e-06 3.4677e-07
4 3.579e-07 1.0342e-08 1.8276 1.0168e-05 3.579e-07
5 3.5011e-07 4.0526e-09 1.0353 2.8562e-06 3.5011e-07
6 3.504e-07 2.0452e-09 0.73829 2.0815e-06 3.504e-07
7 3.3427e-07 9.0372e-09 1.7099 5.5001e-06 3.3427e-07
8 3.3946e-07 4.1832e-09 1.1022 3.5535e-06 3.3946e-07
9 3.505e-07 2.1877e-09 0.78951 2.1896e-06 3.505e-07
10 3.4244e-07 9.4167e-09 1.7392 9.9667e-06 3.4244e-07
11 3.5127e-07 4.0883e-09 1.041 2.664e-06 3.5127e-07
12 3.5307e-07 2.1007e-09 0.7526 3.2872e-06 3.5307e-07
13 3.5213e-07 9.8176e-09 1.7633 8.2603e-06 3.5213e-07
14 3.4839e-07 4.1687e-09 1.0702 3.7599e-06 3.4839e-07
15 3.4795e-07 2.0835e-09 0.75742 2.2245e-06 3.4795e-07
16 3.577e-07 1.0211e-08 1.8054 8.1279e-06 3.577e-07
17 3.5138e-07 4.0943e-09 1.0422 2.7102e-06 3.5138e-07
18 3.4929e-07 2.0864e-09 0.75556 2.8371e-06 3.4929e-07
19 3.444e-07 9.2359e-09 1.6961 6.327e-06 3.444e-07
20 3.5008e-07 4.159e-09 1.0626 3.4896e-06 3.5008e-07
21 3.4967e-07 2.0962e-09 0.75827 1.7518e-06 3.4967e-07
22 3.5133e-07 9.7846e-09 1.7614 9.6305e-06 3.5133e-07
23 3.4938e-07 4.1031e-09 1.0504 2.8218e-06 3.4938e-07
24 3.4928e-07 2.0649e-09 0.74781 1.6623e-06 3.4928e-07
25 3.5737e-07 9.5536e-09 1.6908 6.2956e-06 3.5737e-07
26 3.4511e-07 4.1059e-09 1.0641 3.8484e-06 3.4511e-07
27 3.5029e-07 2.1369e-09 0.77163 1.9474e-06 3.5029e-07
28 3.5902e-07 9.278e-09 1.6344 6.195e-06 3.5902e-07
29 3.4501e-07 4.1658e-09 1.08 3.582e-06 3.4501e-07
30 3.5331e-07 2.11e-09 0.75542 2.0583e-06 3.5331e-07
31 3.3955e-07 9.1409e-09 1.7026 5.8202e-06 3.3955e-07
32 3.5451e-07 4.2405e-09 1.0699 3.8388e-06 3.5451e-07
33 3.5033e-07 2.0562e-09 0.74242 1.9434e-06 3.5033e-07
