 0.72572E-06 0.37726E-08 0.00000E+00    30001     1693    4     1688 0.233E+10 0.25167E-11  0.72572E-06
   2    0.73338E-06    0.21355E-07    0.18416E+01    0.18994E-04    0.73338E-06
   3    0.72814E-06    0.86894E-08    0.10674E+01    0.78648E-05    0.72814E-06
   4    0.72481E-06    0.42708E-08    0.74532E+00    0.35345E-05    0.72481E-06
