 0.12325E-05 0.64826E-08 0.00000E+00    30001     1711    4     1706 0.138E+10 0.42747E-11  0.12325E-05
   2    0.12369E-05    0.34476E-07    0.17629E+01    0.28165E-04    0.12369E-05
   3    0.12372E-05    0.14664E-07    0.10602E+01    0.14216E-04    0.12372E-05
   4    0.12311E-05    0.73914E-08    0.75944E+00    0.82530E-05    0.12311E-05
