 0.19855E-05 0.10184E-07 0.00000E+00    30001     1682    4     1678 0.845E+09 0.68836E-11  0.19855E-05
   2    0.20327E-05    0.58738E-07    0.18276E+01    0.57744E-04    0.20327E-05
   3    0.19898E-05    0.23029E-07    0.10352E+01    0.16219E-04    0.19898E-05
   4    0.19825E-05    0.11573E-07    0.73839E+00    0.12071E-04    0.19825E-05
