 0.46173E-06 0.24394E-08 0.00000E+00    30001     1743    4     1738 0.376E+10 0.16060E-11  0.46173E-06
   2    0.47156E-06    0.12710E-07    0.17047E+01    0.80931E-05    0.47156E-06
   3    0.45677E-06    0.54038E-08    0.10581E+01    0.36685E-05    0.45677E-06
   4    0.46253E-06    0.27991E-08    0.76549E+00    0.28037E-05    0.46253E-06
