 0.10504E-05 0.54288E-08 0.00000E+00    30001     1665    4     1660 0.158E+10 0.36437E-11  0.10504E-05
   2    0.10427E-05    0.28791E-07    0.17463E+01    0.27438E-04    0.10427E-05
   3    0.10555E-05    0.12222E-07    0.10357E+01    0.10649E-04    0.10555E-05
   4    0.10494E-05    0.61981E-08    0.74711E+00    0.52943E-05    0.10494E-05
