 0.24726E-07 0.37343E-09 0.00000E+00   120146     5116    6      667 0.270E+11 0.21400E-13  0.24726E-07
   4    0.24136E-07    0.77801E-08    0.40773E+02    0.11619E-03    0.24136E-07
   5    0.26849E-07    0.21948E-08    0.14623E+02    0.43030E-04    0.26849E-07
   6    0.24652E-07    0.37927E-09    0.38921E+01    0.53157E-05    0.24652E-07
