 0.17073E-09 0.16536E-09 0.00000E+00     7614       28    3        2 0.117E+11 0.67680E-15  0.17073E-09
   1    0.32563E-09    0.21641E-09    0.25740E+01    0.31473E-08    0.32563E-09
   2    0.51271E-10    0.39695E-10    0.56893E+01    0.20951E-08    0.51271E-10
   3    0.91904E-10    0.66315E-10    0.62672E+02    0.48672E-06    0.91904E-10
