 0.19868E-05 0.10821E-07 0.00000E+00    30001     1690    4     1686 0.849E+09 0.69153E-11  0.19868E-05
   2    0.20296E-05    0.54259E-07    0.16908E+01    0.35758E-04    0.20296E-05
   3    0.19600E-05    0.23319E-07    0.10641E+01    0.21856E-04    0.19600E-05
   4    0.19916E-05    0.12147E-07    0.77147E+00    0.11060E-04    0.19916E-05
