 0.73698E-07 0.10339E-08 0.00000E+00    14001      891    3      886 0.120E+11 0.51421E-12  0.73698E-07
   1    0.70542E-07    0.80305E-08    0.50911E+01    0.63756E-05    0.70542E-07
   2    0.72034E-07    0.26375E-08    0.23157E+01    0.24690E-05    0.72034E-07
   3    0.74047E-07    0.11348E-08    0.13707E+01    0.12339E-05    0.74047E-07
