 0.29081E-06 0.15460E-08 0.00000E+00    30001     1672    4     1669 0.574E+10 0.10077E-11  0.29081E-06
   2    0.29822E-06    0.82300E-08    0.17454E+01    0.84512E-05    0.29822E-06
   3    0.29167E-06    0.34711E-08    0.10644E+01    0.39876E-05    0.29167E-06
   4    0.29023E-06    0.17659E-08    0.76963E+00    0.26248E-05    0.29023E-06
