 0.10407E-05 0.54101E-08 0.00000E+00    30001     1675    4     1671 0.161E+10 0.36094E-11  0.10407E-05
   2    0.10515E-05    0.30618E-07    0.18417E+01    0.27233E-04    0.10515E-05
   3    0.10439E-05    0.12464E-07    0.10679E+01    0.11277E-04    0.10439E-05
   4    0.10395E-05    0.61242E-08    0.74522E+00    0.49852E-05    0.10395E-05
