 0.29704E-07 0.57183E-09 0.00000E+00    13318     1251    3      623 0.210E+11 0.20878E-12  0.29704E-07
   1    0.29676E-07    0.36145E-08    0.44201E+01    0.20543E-05    0.29676E-07
   2    0.28388E-07    0.11946E-08    0.26614E+01    0.10896E-05    0.28388E-07
   3    0.30064E-07    0.66141E-09    0.19677E+01    0.77263E-06    0.30064E-07
