 0.36309E-09 0.16513E-09 0.00000E+00   252052      754    8       11 0.303E+11 0.15514E-15  0.36309E-09
   6    0.95182E-10    0.80544E-10    0.15138E+03    0.25730E-05    0.95182E-10
   7    0.78697E-09    0.71382E-09    0.22947E+03    0.45670E-04    0.78697E-09
   8    0.35745E-09    0.71488E-10    0.71551E+02    0.53989E-05    0.35745E-09
