 0.11281E-07 0.33654E-09 0.00000E+00    13235     1268    3      646 0.573E+11 0.79833E-13  0.11281E-07
   1    0.12450E-07    0.15535E-08    0.43834E+01    0.99681E-06    0.12450E-07
   2    0.10496E-07    0.40515E-09    0.24414E+01    0.35101E-06    0.10496E-07
   3    0.11496E-07    0.25030E-09    0.19475E+01    0.30167E-06    0.11496E-07
