 0.12462E-05 0.64993E-08 0.00000E+00    30001     1711    4     1706 0.137E+10 0.43363E-11  0.12462E-05
   2    0.12081E-05    0.33001E-07    0.17277E+01    0.33395E-04    0.12081E-05
   3    0.12428E-05    0.14525E-07    0.10454E+01    0.93057E-05    0.12428E-05
   4    0.12489E-05    0.74498E-08    0.75455E+00    0.12224E-04    0.12489E-05
