 0.24593E-07 0.22584E-09 0.00000E+00    29311     1811    4     1806 0.734E+11 0.84972E-13  0.24593E-07
   2    0.24502E-07    0.10878E-08    0.28079E+01    0.16216E-05    0.24502E-07
   3    0.25499E-07    0.61776E-09    0.21669E+01    0.11748E-05    0.25499E-07
   4    0.24472E-07    0.22001E-09    0.11372E+01    0.25410E-06    0.24472E-07
