 0.65340E-06 0.33920E-08 0.00000E+00    30001     1672    4     1668 0.255E+10 0.22679E-11  0.65340E-06
   2    0.65859E-06    0.18342E-07    0.17614E+01    0.18016E-04    0.65859E-06
   3    0.65340E-06    0.76692E-08    0.10498E+01    0.52645E-05    0.65340E-06
   4    0.65316E-06    0.38651E-08    0.74852E+00    0.30736E-05    0.65316E-06
