 0.24466E-06 0.13158E-08 0.00000E+00    30001     1610    4     1605 0.656E+10 0.84677E-12  0.24466E-06
   2    0.24592E-06    0.69907E-08    0.17978E+01    0.75688E-05    0.24592E-06
   3    0.24759E-06    0.30297E-08    0.10945E+01    0.30084E-05    0.24759E-06
   4    0.24387E-06    0.14937E-08    0.77475E+00    0.17839E-05    0.24387E-06
