 0.86753E-06 0.45227E-08 0.00000E+00    30001     1665    4     1661 0.191E+10 0.30014E-11  0.86753E-06
   2    0.88051E-06    0.24574E-07    0.17651E+01    0.35996E-04    0.88051E-06
   3    0.87694E-06    0.10112E-07    0.10314E+01    0.70121E-05    0.87694E-06
   4    0.86441E-06    0.51667E-08    0.75606E+00    0.68824E-05    0.86441E-06
