 0.10508E-05 0.54604E-08 0.00000E+00    30001     1653    4     1648 0.157E+10 0.36556E-11  0.10508E-05
   2    0.10177E-05    0.28345E-07    0.17615E+01    0.28721E-04    0.10177E-05
   3    0.10490E-05    0.12158E-07    0.10367E+01    0.79207E-05    0.10490E-05
   4    0.10528E-05    0.62582E-08    0.75190E+00    0.82235E-05    0.10528E-05
