 0.17546E-08 0.23555E-09 0.00000E+00   240115      551    6       32 0.182E+11 0.73740E-15  0.17546E-08
   4    0.25434E-08    0.18814E-08    0.13232E+03    0.59655E-04    0.25434E-08
   5    0.22782E-07    0.18146E-07    0.20150E+03    0.11350E-02    0.22782E-07
   6    0.15102E-08    0.12694E-09    0.30072E+02    0.71271E-05    0.15102E-08
